               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10757,            0.098556,            0.040393,              0.3157,             0.13707,            0.054267,             0.01336,            0.091259,            0.067956,            0.045086,            0.070161,           0.0033154,           0.0033154
                   1,            0.091868,            0.093025,             0.03031,            0.056004,             0.27285,            0.039384,            0.008677,            0.083707,            0.064461,             0.03834,             0.04003,           0.0065171,           0.0065171
                   2,            0.087574,            0.094799,            0.027525,            0.098623,             0.20049,             0.05754,            0.014693,            0.081932,            0.075961,            0.038798,            0.009766,           0.0095868,           0.0095868
                   3,            0.084555,            0.097481,            0.026057,             0.16015,             0.24973,             0.10398,            0.025222,            0.074818,            0.069732,            0.035102,            0.009406,            0.009406,            0.009406
                   4,            0.082997,            0.098609,            0.024904,             0.16505,             0.21535,             0.10041,            0.024346,            0.075786,            0.072019,            0.033414,            0.009406,            0.009406,            0.009406
                   5,            0.081358,            0.093958,            0.024431,             0.11437,             0.20441,            0.071248,            0.016609,            0.079431,            0.067158,            0.037734,            0.009208,            0.009208,            0.009208
                   6,            0.080909,            0.094819,            0.022621,             0.12212,              0.1758,            0.075603,            0.017832,            0.078526,            0.066199,            0.031749,             0.00901,             0.00901,             0.00901
                   7,            0.080486,            0.095331,            0.021488,             0.21982,             0.27728,             0.13926,            0.033809,             0.07379,            0.067058,               0.034,            0.008812,            0.008812,            0.008812
                   8,            0.080027,            0.097308,            0.020931,             0.26085,             0.29965,             0.18926,            0.047605,            0.071153,            0.067797,            0.027826,            0.008614,            0.008614,            0.008614
                   9,             0.07898,            0.090561,            0.020978,             0.24205,             0.26726,             0.16354,            0.040887,            0.071692,            0.066826,            0.029956,            0.008416,            0.008416,            0.008416
                  10,            0.079518,            0.094223,            0.019673,             0.23244,             0.26022,             0.15792,            0.041617,            0.071783,            0.068137,            0.031441,            0.008218,            0.008218,            0.008218
                  11,            0.079058,            0.093159,             0.01888,             0.38245,             0.25311,             0.14338,            0.035278,            0.072772,            0.069047,            0.043531,             0.00802,             0.00802,             0.00802
                  12,            0.078638,            0.095152,            0.018954,             0.15697,             0.15904,            0.085036,            0.022612,            0.077424,            0.074194,            0.026531,            0.007822,            0.007822,            0.007822
                  13,            0.078738,            0.092526,            0.017665,             0.26261,             0.24283,             0.14698,            0.035718,            0.073092,            0.067206,            0.044312,            0.007624,            0.007624,            0.007624
                  14,            0.078696,            0.094791,            0.017195,             0.25823,             0.27789,             0.17186,            0.043017,            0.071515,            0.066542,            0.029717,            0.007426,            0.007426,            0.007426
